id,claim,evidence,cited_doc_ids,topic_id
381,Environmental factors can influence the development of breast cancer.,"{'18340282': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}",[18340282],1
382,Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,"{'11659421': [{'sentences': [1, 2], 'label': 'SUPPORT'}, {'sentences': [4, 5], 'label': 'SUPPORT'}]}",[11659421],9
394,Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,"{'11360768': [{'sentences': [8], 'label': 'SUPPORT'}, {'sentences': [11], 'label': 'SUPPORT'}, {'sentences': [12], 'label': 'SUPPORT'}]}",[11360768],8
396,Exercise increases cancer mortality rates among Chinese citizens.,"{'1456068': [{'sentences': [8], 'label': 'CONTRADICT'}, {'sentences': [10], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}]}",[1456068],1
397,Exercise reduces cancer mortality rates among Chinese citizens.,"{'1456068': [{'sentences': [8], 'label': 'SUPPORT'}, {'sentences': [10], 'label': 'SUPPORT'}, {'sentences': [11], 'label': 'SUPPORT'}]}",[1456068],1
400,Exposure to fine particulate air pollution is unrelated to anxiety prevalence.,"{'791050': [{'sentences': [7], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}]}",[791050],3
413,Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,"{'6309659': [{'sentences': [12], 'label': 'CONTRADICT'}]}",[6309659],9
414,Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.,"{'6309659': [{'sentences': [12], 'label': 'SUPPORT'}]}",[6309659],9
416,Female carriers of the Apolipoprotein E4 (APOE4) allele have longer lifetime exposure to estrogen due to an increased reproductive period.,"{'6309659': [{'sentences': [12], 'label': 'SUPPORT'}]}",[6309659],9
417,Female carriers of the Apolipoprotein E4 (APOE4) allele have shorter lifetime exposure to estrogen due to a decreased reproductive period.,"{'6309659': [{'sentences': [12], 'label': 'CONTRADICT'}]}",[6309659],9
420,Fibroblast growth factor 21 protects against atherosclerosis by modulating adiponectin and SREBP2 levels.,"{'9315213': [{'sentences': [5], 'label': 'SUPPORT'}]}",[9315213],8
426,Forkhead 0 (fox0) transcription factors are involved in apoptosis.,"{'16728949': [{'sentences': [0], 'label': 'SUPPORT'}]}",[16728949],6
428,Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,"{'16728949': [{'sentences': [0], 'label': 'SUPPORT'}]}",[16728949],6
430,FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,"{'28937856': [{'sentences': [5], 'label': 'CONTRADICT'}]}",[28937856],4
432,Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.,"{'8002887': [{'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",[8002887],4
441,G-CSF increases the expansion and infiltration of MDSCs into tumors.,"{'2014909': [{'sentences': [2], 'label': 'SUPPORT'}]}",[2014909],1
444,GATA3 regulates cell cycle progression in bone marrow hematopoietic stem cells.,"{'10165258': [{'sentences': [5, 6], 'label': 'SUPPORT'}]}",[10165258],2
445,GATA3 regulates self-renewal capacity in bone marrow hematopoietic stem cells.,"{'10165258': [{'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}",[10165258],2
447,Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,"{'2052720': [{'sentences': [6], 'label': 'CONTRADICT'}, {'sentences': [7], 'label': 'CONTRADICT'}]}",[2052720],5
448,Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,"{'2052720': [{'sentences': [6], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}]}",[2052720],5
453,General exercise therapy is more effective than rotator cuff exercises in reducing pain and improving function of the shoulder.,"{'4200695': [{'sentences': [11], 'label': 'CONTRADICT'}]}",[4200695],3
454,General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,"{'4200695': [{'sentences': [11], 'label': 'CONTRADICT'}, {'sentences': [12], 'label': 'CONTRADICT'}, {'sentences': [14], 'label': 'CONTRADICT'}]}",[4200695],3
455,Genes involved in pre-mRNA splicing have a significant impact on genome stability.,"{'12643937': [{'sentences': [3], 'label': 'SUPPORT'}]}",[12643937],6
458,Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,"{'597790': [{'sentences': [3], 'label': 'SUPPORT'}]}",[597790],8
461,Genetic deletion of JAM-A increases gut permeability.,"{'40096222': [{'sentences': [0], 'label': 'SUPPORT'}]}",[40096222],9
463,Genomic aberrations of metastases provide information for targeted therapy.,"{'19736671': [{'sentences': [5], 'label': 'SUPPORT'}]}",[19736671],1
466,Genomic sequences involved in alternative splicing responsible for Hutchinson-Gilford progeria syndrome (HGPS) are abundant in the ''progerinonly'' allele of Lmna knock-in models.,"{'22544171': [{'sentences': [0, 4, 5], 'label': 'CONTRADICT'}]}",[22544171],6
469,Glial calcium waves influence seizures.,"{'1410197': [{'sentences': [6, 10], 'label': 'SUPPORT'}]}",[1410197],4
470,"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.","{'12685434': [{'sentences': [2], 'label': 'SUPPORT'}]}",[12685434],1
479,Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,"{'6325527': [{'sentences': [2], 'label': 'CONTRADICT'}]}",[6325527],4
480,Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,"{'6325527': [{'sentences': [2], 'label': 'SUPPORT'}]}",[6325527],4
482,Guanine nucleotide exchange factors (GEFs) mediate RhoA activation in response to tensional forces on fibronectin-binding integrins.,"{'10991183': [{'sentences': [3], 'label': 'SUPPORT'}]}",[10991183],9
483,H.pylori-mediated gastric cancer occurs due to the accumulation of mutations in host epithelial cells.,"{'22703082': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}]}",[22703082],1
488,HAND2 methylation is a key step in early endometrial carcinogenesis.,"{'1780819': [{'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}, {'sentences': [9], 'label': 'SUPPORT'}, {'sentences': [11], 'label': 'SUPPORT'}]}",[1780819],1
495,Having a main partner improves HIV outcomes.,"{'17077004': [{'sentences': [7], 'label': 'SUPPORT'}, {'sentences': [9], 'label': 'SUPPORT'}]}",[17077004],5
498,Having a main partner worsens HIV outcomes.,"{'17077004': [{'sentences': [7], 'label': 'CONTRADICT'}, {'sentences': [9], 'label': 'CONTRADICT'}]}",[17077004],5
499,HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).,"{'26064662': [{'sentences': [10], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}, {'sentences': [13], 'label': 'CONTRADICT'}, {'sentences': [14], 'label': 'CONTRADICT'}, {'sentences': [15], 'label': 'CONTRADICT'}]}",[26064662],8
500,Headaches are correlated with cognitive impairment.,"{'17930286': [{'sentences': [12], 'label': 'CONTRADICT'}]}",[17930286],3
504,Healthy volunteers exhibit rapid and transient increase of cellular ATP after being bolus-injected with fructose.,"{'10883736': [{'sentences': [11], 'label': 'CONTRADICT'}]}",[10883736],8
505,Helicobacter pylori-induced aberrant NF-kB-dependent expression of activation-induced cytidine deaminase contributes to the mutagenesis of host DNA.,"{'22703082': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}]}",[22703082],6
506,Helminths interfere with immune system control of coinfections by microbial pathogens 16.,"{'7433668': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}]}",[7433668],7
515,High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,"{'29564505': [{'sentences': [8], 'label': 'SUPPORT'}, {'sentences': [13], 'label': 'SUPPORT'}]}",[29564505],5
523,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.","{'14803797': [{'sentences': [1], 'label': 'CONTRADICT'}, {'sentences': [5], 'label': 'CONTRADICT'}]}",[14803797],0
524,"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.","{'14803797': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",[14803797],0
529,Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,"{'10546779': [{'sentences': [2], 'label': 'SUPPORT'}], '25413327': [{'sentences': [0], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}], '36651210': [{'sentences': [0], 'label': 'SUPPORT'}]}","[10546779, 25413327, 36651210]",2
530,"Human embryonic stem cells give rise to cell types from the outer embryonic germ layer, but not the other two layers.","{'10546779': [{'sentences': [2], 'label': 'CONTRADICT'}], '25413327': [{'sentences': [0], 'label': 'CONTRADICT'}, {'sentences': [5], 'label': 'CONTRADICT'}], '36651210': [{'sentences': [0], 'label': 'CONTRADICT'}]}","[10546779, 25413327, 36651210, 87610599]",2
531,Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,"{'10546779': [{'sentences': [2], 'label': 'SUPPORT'}], '25413327': [{'sentences': [0], 'label': 'SUPPORT'}], '36651210': [{'sentences': [0], 'label': 'SUPPORT'}]}","[10546779, 25413327, 36651210]",2
537,Hypocretin neurones suppress panicprone state in rats.,"{'16056514': [{'sentences': [4], 'label': 'CONTRADICT'}]}",[16056514],4
541,Hypothalamic glutamate neurotransmission is unrelated to energy balance.,"{'45154987': [{'sentences': [7], 'label': 'CONTRADICT'}, {'sentences': [8], 'label': 'CONTRADICT'}], '11886686': [{'sentences': [5], 'label': 'CONTRADICT'}]}","[45154987, 11886686, 25007443]",8
542,"IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.","{'19688024': [{'sentences': [3], 'label': 'CONTRADICT'}]}",[19688024],4
547,IL-10 production by monocytes inhibits CD4 + T cell response.,"{'10648422': [{'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",[10648422],7
548,IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,"{'18199839': [{'sentences': [8, 9], 'label': 'SUPPORT'}, {'sentences': [11], 'label': 'SUPPORT'}]}",[18199839],7
553,IgA plasma cells that are specific for transglutaminase 2 are scarce in the duodenal mucosa of celiac disease patients when the disease is active.,"{'1471041': [{'sentences': [3], 'label': 'CONTRADICT'}]}",[1471041],7
559,Immune responses in immune cells are geographically segregated.,"{'3475317': [{'sentences': [7], 'label': 'SUPPORT'}]}",[3475317],7
562,Improvements in OER catalysts show stable activity over several hundred hours.,"{'20101846': [{'sentences': [4], 'label': 'SUPPORT'}]}",[20101846],0
563,"In British Men, haplogroup I decreases risk of cardiovascular disease.","{'2867345': [{'sentences': [7], 'label': 'CONTRADICT'}]}",[2867345],5
564,"In British Men, haplogroup I increases risk of cardiovascular disease by 50%.","{'2867345': [{'sentences': [7], 'label': 'SUPPORT'}]}",[2867345],5
565,"In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.","{'16120395': [{'sentences': [1, 2], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}]}",[16120395],6
566,"In S. cerevisiae, the absence of RNA surveillance pathways reduces sensitivity to high iron conditions.","{'16120395': [{'sentences': [1, 2], 'label': 'CONTRADICT'}, {'sentences': [3], 'label': 'CONTRADICT'}, {'sentences': [4], 'label': 'CONTRADICT'}]}",[16120395],6
568,"In a naive state, blocking Wingless-Int-1 secretion from mouse embryonic stem cells inhibits self-renewal of the mouse embryonic stem cells.","{'23418635': [{'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}]}",[23418635],2
570,"In breast cancer, the loss of myoepithelial cells promotes the transition of ductal carcinoma in situ to invasive carcinoma.","{'20333864': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}]}",[20333864],1
571,"In breast cancer, the loss of myoepithelial cells slows the transition of ductal carcinoma in situ to invasive carcinoma.","{'20333864': [{'sentences': [2], 'label': 'CONTRADICT'}, {'sentences': [3], 'label': 'CONTRADICT'}]}",[20333864],1
576,"In melanoma, anti-CTLA-4 treatment reinvigorates exhausted PD-1+Eomes+CD8 T cells.","{'4468861': [{'sentences': [4], 'label': 'SUPPORT'}]}",[4468861],7
579,"In patients with congenital heart defects, β-blockers significantly improve clinical heart failure outcomes.","{'34139429': [{'sentences': [13], 'label': 'CONTRADICT'}]}",[34139429],8
580,"In pediatric tissue, most T cells are naive T cell emigrants from the thymus.","{'23460562': [{'sentences': [4], 'label': 'SUPPORT'}]}",[23460562],2
584,"In rhesus macaques, daily subcutaneous injections of tenofovir protects against rectally transmitted simian-human immunodeficiency virus.","{'14260013': [{'sentences': [9], 'label': 'SUPPORT'}]}",[14260013],7
590,"In young and middle-aged adults, current or remote uses of ADHD medications increase the risk of serious cardiovascular events.","{'10984005': [{'sentences': [9, 10], 'label': 'CONTRADICT'}, {'sentences': [12], 'label': 'CONTRADICT'}]}",[10984005],8
591,Incidence of 10/66 dementia is higher than the incidence of DSM-IV dementia.,"{'14682243': [{'sentences': [8], 'label': 'SUPPORT'}]}",[14682243],5
592,Incidence of 10/66 dementia is lower than the incidence of DSM-IV dementia.,"{'14682243': [{'sentences': [8], 'label': 'CONTRADICT'}]}",[14682243],5
594,Incidence of heart failure increased by 10% in women since 1979.,"{'19675911': [{'sentences': [5], 'label': 'CONTRADICT'}]}",[19675911],5
595,Incidence of sepsis has fallen substantially from 2009 to 2014.,"{'4824840': [{'sentences': [9], 'label': 'CONTRADICT'}, {'sentences': [13], 'label': 'CONTRADICT'}]}",[4824840],5
600,Including pharmacists in rounding teams does not alter the incidence of adverse drug events (ADEs).,"{'12258338': [{'sentences': [11], 'label': 'CONTRADICT'}, {'sentences': [14], 'label': 'CONTRADICT'}]}",[12258338],3
601,Including pharmacists in rounding teams reduces the incidence of adverse drug events (ADEs).,"{'12258338': [{'sentences': [11], 'label': 'SUPPORT'}, {'sentences': [14], 'label': 'SUPPORT'}]}",[12258338],5
603,Increased LDL receptors plays a role in the reduction of plasma Lp(a).,"{'6540064': [{'sentences': [9, 10, 11], 'label': 'SUPPORT'}, {'sentences': [16], 'label': 'SUPPORT'}]}",[6540064],8
607,Increased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,"{'4506414': [{'sentences': [9], 'label': 'SUPPORT'}]}",[4506414],8
612,Increased microtubule acetylation exacerbates LRRK2 Roc-COR domain mutation induced locomotor deficits.,"{'9638032': [{'sentences': [4], 'label': 'CONTRADICT'}]}",[9638032],4
614,Increased microtubule acetylation repairs interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,"{'9638032': [{'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",[9638032],4
615,Increased microtubule acetylation worsens interference of axonal transport caused by LRRK2 Roc-COR domain mutations.,"{'9638032': [{'sentences': [4], 'label': 'CONTRADICT'}, {'sentences': [5], 'label': 'CONTRADICT'}]}",[9638032],4
621,Individuals with Alzheimers who participate in six months of physical activity improve cognitive function for up to 18 months.,"{'1642727': [{'sentences': [9], 'label': 'SUPPORT'}, {'sentences': [13], 'label': 'SUPPORT'}]}",[1642727],3
624,Induced hepatic stem cells possess the potential to differentiate into cholangiocytic cells.,"{'20033112': [{'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}",[20033112],2
625,Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,"{'20033112': [{'sentences': [3], 'label': 'SUPPORT'}]}",[20033112],2
626,Induction of urokinase receptor signaling in podocytes causes foot process effacement and proteinuria.,"{'16355392': [{'sentences': [2], 'label': 'SUPPORT'}]}",[16355392],4
631,Inhibiting HDAC6 increases survival of mice with ARID1A mutated tumors.,"{'5468807': [{'sentences': [4], 'label': 'SUPPORT'}]}",[5468807],1
632,Inhibiting focal adhesion formation enables cells to convert mechanical strain into eventual scarring.,"{'5172048': [{'sentences': [3], 'label': 'CONTRADICT'}, {'sentences': [5], 'label': 'CONTRADICT'}, {'sentences': [6], 'label': 'CONTRADICT'}, {'sentences': [7], 'label': 'CONTRADICT'}]}",[5172048],9
633,Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,"{'5172048': [{'sentences': [3], 'label': 'CONTRADICT'}, {'sentences': [7], 'label': 'CONTRADICT'}]}",[5172048],7
635,Inhibiting glucose-6-phospate dehydrogenase improves lipogenesis by deactivating LKB1-AMPK signaling.,"{'1686997': [{'sentences': [1, 2], 'label': 'CONTRADICT'}]}",[1686997],8
640,"Inside the body, falciparum parasites reproduce asexually.","{'6503185': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}]}",[6503185],2
643,Insulin effects appetite via ventral tegmental neurons.,"{'15535511': [{'sentences': [3, 5], 'label': 'SUPPORT'}]}",[15535511],8
645,Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.,"{'12810152': [{'sentences': [0], 'label': 'CONTRADICT'}]}",[12810152],8
646,Intake of folic acid (FA) and vitamin B6 (VB6) reduces levels of homocysteine.,"{'12810152': [{'sentences': [0], 'label': 'SUPPORT'}]}",[12810152],8
647,Integrated care is ineffective at tackling multiple comorbidities.,"{'15041758': [{'sentences': [6], 'label': 'CONTRADICT'}, {'sentences': [7], 'label': 'CONTRADICT'}, {'sentences': [8], 'label': 'CONTRADICT'}]}",[15041758],3
648,Integrated care is successful at tackling multiple comorbidities.,"{'15041758': [{'sentences': [6], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}, {'sentences': [8], 'label': 'SUPPORT'}]}",[15041758],5
653,Interleukin-18 plays an important role in the pathogenesis of atherosclerosis.,"{'24384587': [{'sentences': [0], 'label': 'SUPPORT'}, {'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",[24384587],7
657,Intramembrane cleavage by signal peptide peptidase aids in the degradation of proteins with a complex membrane orientation.,"{'8533245': [{'sentences': [2, 3], 'label': 'SUPPORT'}]}",[8533245],4
661,JMJD6 catalyzes the hydroxylation of C-terminal lysine and supresses transcriptional activity.,"{'37204802': [{'sentences': [3, 4, 6], 'label': 'SUPPORT'}]}",[37204802],6
662,JMJD6 slows the hydroxylation of C-terminal lysine,"{'37204802': [{'sentences': [3, 4, 6], 'label': 'CONTRADICT'}]}",[37204802],8
663,KLF4 is necessary for VSMCs to gain genetic characteristics of other cell types within atherosclerotic lesions.,"{'22080671': [{'sentences': [5], 'label': 'SUPPORT'}]}",[22080671],4
665,KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.,"{'12580014': [{'sentences': [1], 'label': 'SUPPORT'}, {'sentences': [2], 'label': 'SUPPORT'}]}",[12580014],9
666,Kir7.1 modulates channel activity by the G protein-coupled melanocortin-4 receptor (MC4R) in the paraventricular nucleus of the hypothalamus.,"{'4469125': [{'sentences': [2], 'label': 'SUPPORT'}]}",[4469125],4
667,Klf2 is important for proper myeloid cell function.,"{'6493422': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",[6493422],9
668,Klf4 is important for proper myeloid cell differentiation.,"{'25148216': [{'sentences': [0], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}","[6493422, 25148216]",9
669,Klf4 is not required for proper myeloid cell differentiation.,"{'25148216': [{'sentences': [0], 'label': 'CONTRADICT'}, {'sentences': [4], 'label': 'CONTRADICT'}, {'sentences': [5], 'label': 'CONTRADICT'}, {'sentences': [6], 'label': 'CONTRADICT'}]}","[6493422, 25148216]",9
670,Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes epithelial damage.,"{'5573975': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}",[5573975],4
671,Knockout proximal tubule-specific deletion of the BMP receptor Alk3 causes fibrosis.,"{'5573975': [{'sentences': [2], 'label': 'SUPPORT'}]}",[5573975],4
673,LDL cholesterol has a causal role in the development of cardiovascular disease.,"{'2095573': [{'sentences': [0], 'label': 'SUPPORT'}]}",[2095573],8
680,Lack of FGF21 in mice increases life expectancy.,"{'9315213': [{'sentences': [4], 'label': 'CONTRADICT'}]}",[9315213],2
681,Lack of FGF21 in mice leads to atherosclerotic plaque formation.,"{'9315213': [{'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [8], 'label': 'SUPPORT'}]}",[9315213],2
682,Lack of FGF21 in mice leads to reduced lifespan.,"{'9315213': [{'sentences': [4], 'label': 'SUPPORT'}]}",[9315213],2
683,Lack of FGF21 in mice slows the rate of atherosclerotic plaque formation.,"{'9315213': [{'sentences': [4], 'label': 'CONTRADICT'}, {'sentences': [5], 'label': 'CONTRADICT'}, {'sentences': [8], 'label': 'CONTRADICT'}]}",[9315213],2
694,Lice attenuated SIV vaccines induce a stronger antigen-specific T cell response in lymph node cells.,"{'1071991': [{'sentences': [1], 'label': 'SUPPORT'}]}",[1071991],7
709,Long chain polyunsaturated fatty acids supplementation is associated with lower rates of atopic eczema at 1 year.,"{'22442133': [{'sentences': [6], 'label': 'SUPPORT'}, {'sentences': [8], 'label': 'SUPPORT'}]}",[22442133],8
717,Low nucleosome occupancy correlates with high methylation levels across species.,"{'17587795': [{'sentences': [4], 'label': 'SUPPORT'}]}",[17587795],6
724,Ly49Q directs the organization of neutrophil polarization by regulating membrane raft functions.,"{'5531479': [{'sentences': [5], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}",[5531479],7
726,Ly6C hi monocytes have a higher inflammatory capacity than Ly6C lo monocytes.,"{'36444198': [{'sentences': [9], 'label': 'SUPPORT'}, {'sentences': [10], 'label': 'SUPPORT'}]}","[7521113, 36444198]",7
734,MEK inhibitors are effective treatments in RAS-driven mouse models of cancer.,"{'4961038': [{'sentences': [7], 'label': 'SUPPORT'}]}",[4961038],4
736,MFGE8 regulates fat absorption by binding to av-Beta3 and av-Beta5 integrins.,"{'5389095': [{'sentences': [4], 'label': 'SUPPORT'}]}",[5389095],8
737,MICAL redox enzymes regulate actin dynamics in many cell types.,"{'16562534': [{'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}], '6609935': [{'sentences': [3], 'label': 'SUPPORT'}]}","[16562534, 6609935]",9
738,MICAL redox enzymes regulate actin dynamics.,"{'16562534': [{'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}], '6609935': [{'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}], '33912020': [{'sentences': [2, 3, 5], 'label': 'SUPPORT'}]}","[16562534, 6609935, 33912020]",9
740,MUC1-C activates the NF-κB p65 signaling pathway by interacting with IκB kinase ß.,"{'23078022': [{'sentences': [8], 'label': 'SUPPORT'}]}",[23078022],4
745,MafA phosphorylation decreases its ubiquitination.,"{'11291348': [{'sentences': [5], 'label': 'CONTRADICT'}]}",[11291348],9
746,MafA phosphorylation enhances its ubiquitination.,"{'11291348': [{'sentences': [5], 'label': 'SUPPORT'}]}",[11291348],9
747,MafA ubiquitination decreases the recruitment of coavtivator P/CAF by MafA.,"{'11291348': [{'sentences': [6], 'label': 'CONTRADICT'}]}",[11291348],5
748,MafA ubiquitination increases the recruitment of coavtivator P/CAF by MafA.,"{'11291348': [{'sentences': [6], 'label': 'SUPPORT'}]}",[11291348],5
749,Major antigen-induced signals from the T cell receptor and secondary signals from costimulatory receptors are required for T cell activation.,"{'13868795': [{'sentences': [0], 'label': 'SUPPORT'}]}",[13868795],7
751,Major vault protein (MVP) leads to more aggressive tumors by regulating the sorting of tumor suppressive miR-193a into extracellular vesicles (EVs).,"{'19800147': [{'sentences': [4], 'label': 'SUPPORT'}, {'sentences': [7], 'label': 'SUPPORT'}]}",[19800147],1
752,Major vault protein regulates sorting of tumor suppressive miR-193a into EVs.,"{'19800147': [{'sentences': [4], 'label': 'SUPPORT'}]}",[19800147],6
760,Mathematical models predict that using Artemisinin-based combination therapy over nongametocytocidal drugs have only a modest impact in reducing malaria transmission.,"{'1805641': [{'sentences': [13], 'label': 'SUPPORT'}]}",[1805641],5
764,Medications to treat obesity are highly effective.,"{'7552215': [{'sentences': [8], 'label': 'CONTRADICT'}, {'sentences': [12], 'label': 'CONTRADICT'}]}",[7552215],8
765,Medications to treat obesity do not have side effects.,"{'7552215': [{'sentences': [10], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}, {'sentences': [12], 'label': 'CONTRADICT'}]}",[7552215],3
766,Medications to treat obesity have unwanted side effects.,"{'7552215': [{'sentences': [10], 'label': 'SUPPORT'}, {'sentences': [11], 'label': 'SUPPORT'}, {'sentences': [12], 'label': 'SUPPORT'}]}",[7552215],8
767,Men are more susceptible to death due to pneumonia when compared to women.,"{'2488880': [{'sentences': [10], 'label': 'CONTRADICT'}]}",[2488880],5
771,Metastatic colorectal cancer treated with a single agent fluoropyrimidines resulted in similar efficacy and better quality of life when compared with oxaliplatin-based chemotherapy in elderly patients.,"{'15476777': [{'sentences': [16], 'label': 'CONTRADICT'}]}",[15476777],1
772,Mice are incapable of producing neutralizing antibodies in reponse to the Chikungunya virus (CHIKV) produced in mosquitos.,"{'24922825': [{'sentences': [7], 'label': 'CONTRADICT'}]}",[24922825],7
778,Mice lacking Sirt1 in Sf1-expressing neurons are immune to diet-induced obesity and insulin resistance.,"{'13001323': [{'sentences': [2, 3], 'label': 'CONTRADICT'}, {'sentences': [5], 'label': 'CONTRADICT'}]}",[13001323],8
779,Mice lacking Sirt1 in Sf1-expressing neurons have increased susceptibility to diet-induced obesity and insulin resistance.,"{'13001323': [{'sentences': [2, 3], 'label': 'SUPPORT'}, {'sentences': [5], 'label': 'SUPPORT'}]}",[13001323],8
780,Mice that lack Interferon-γ or its receptor are highly susceptible to experimental autoimmune myocarditis.,"{'8246922': [{'sentences': [7], 'label': 'SUPPORT'}, {'sentences': [11], 'label': 'SUPPORT'}], '24338780': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}, {'sentences': [6], 'label': 'SUPPORT'}]}","[8246922, 24338780]",7
782,Mice without IFN-γ or its receptor are highly susceptible to EAM induced with α-MyHC/CFA.,"{'8246922': [{'sentences': [7], 'label': 'SUPPORT'}, {'sentences': [11], 'label': 'SUPPORT'}]}",[8246922],7
787,Microcin J25 encourages nucleoside triphosphate (NTP) binding.,"{'4740447': [{'sentences': [1], 'label': 'CONTRADICT'}]}",[4740447],6
788,Microcin J25 inhibits nucleoside triphosphate (NTP) binding.,"{'4740447': [{'sentences': [1], 'label': 'SUPPORT'}]}",[4740447],6
789,Microglia are an innate immune cell type of the central nervous system.,"{'15493354': [{'sentences': [2], 'label': 'SUPPORT'}, {'sentences': [3], 'label': 'SUPPORT'}]}",[15493354],7
790,Microglia are an innate immune cell type of the peripheral nervous system.,"{'15493354': [{'sentences': [2], 'label': 'CONTRADICT'}, {'sentences': [3], 'label': 'CONTRADICT'}]}",[15493354],7
